ERPset                                  bin    	channel	value  
s2611_ERP (CLEAN; REB)                   20      	58      	 1.966
s2611_ERP (CLEAN; REB)                   20      	59      	 1.441
s2611_ERP (CLEAN; REB)                   20      	60      	 1.091
s2611_ERP (CLEAN; REB)                   20      	62      	 1.503
s2611_ERP (CLEAN; REB)                   20      	63      	 2.191
s2611_ERP (CLEAN; REB)                   21      	58      	 2.272
s2611_ERP (CLEAN; REB)                   21      	59      	 1.633
s2611_ERP (CLEAN; REB)                   21      	60      	 0.804
s2611_ERP (CLEAN; REB)                   21      	62      	 1.294
s2611_ERP (CLEAN; REB)                   21      	63      	 2.436
s2611_ERP (CLEAN; REB)                   23      	58      	 1.887
s2611_ERP (CLEAN; REB)                   23      	59      	 0.805
s2611_ERP (CLEAN; REB)                   23      	60      	-0.275
s2611_ERP (CLEAN; REB)                   23      	62      	-0.228
s2611_ERP (CLEAN; REB)                   23      	63      	 1.536
s2611_ERP (CLEAN; REB)                   24      	58      	 1.544
s2611_ERP (CLEAN; REB)                   24      	59      	 0.742
s2611_ERP (CLEAN; REB)                   24      	60      	-0.537
s2611_ERP (CLEAN; REB)                   24      	62      	-0.589
s2611_ERP (CLEAN; REB)                   24      	63      	 1.038
s2615_ERP (CLEAN; REB)                   20      	58      	-0.036
s2615_ERP (CLEAN; REB)                   20      	59      	-0.252
s2615_ERP (CLEAN; REB)                   20      	60      	-0.444
s2615_ERP (CLEAN; REB)                   20      	62      	-0.292
s2615_ERP (CLEAN; REB)                   20      	63      	-0.043
s2615_ERP (CLEAN; REB)                   21      	58      	 0.975
s2615_ERP (CLEAN; REB)                   21      	59      	 0.620
s2615_ERP (CLEAN; REB)                   21      	60      	 0.135
s2615_ERP (CLEAN; REB)                   21      	62      	-0.104
s2615_ERP (CLEAN; REB)                   21      	63      	 0.823
s2615_ERP (CLEAN; REB)                   23      	58      	 1.144
s2615_ERP (CLEAN; REB)                   23      	59      	 1.472
s2615_ERP (CLEAN; REB)                   23      	60      	 1.783
s2615_ERP (CLEAN; REB)                   23      	62      	 1.445
s2615_ERP (CLEAN; REB)                   23      	63      	 1.407
s2615_ERP (CLEAN; REB)                   24      	58      	 1.836
s2615_ERP (CLEAN; REB)                   24      	59      	 1.987
s2615_ERP (CLEAN; REB)                   24      	60      	 2.237
s2615_ERP (CLEAN; REB)                   24      	62      	 1.774
s2615_ERP (CLEAN; REB)                   24      	63      	 1.733
s2616_ERP (CLEAN; REB)                   20      	58      	 2.784
s2616_ERP (CLEAN; REB)                   20      	59      	 1.766
s2616_ERP (CLEAN; REB)                   20      	60      	 0.375
s2616_ERP (CLEAN; REB)                   20      	62      	 0.690
s2616_ERP (CLEAN; REB)                   20      	63      	 2.158
s2616_ERP (CLEAN; REB)                   21      	58      	 2.585
